enc,codigo,cliente,descricao,quantidadeProducao,quantidadePicada,qrCode
ENC-A-2252611,A10CBLO000S0181A,MUNICIPIO DA TROFA,Louceiro 50x37.5x100cm - FFaia,10,,
ENC-A-2252611,A10CBME000S0278A,MUNICIPIO DA TROFA,Mesa 60x60x54cm - FFaia/MDF,10,,
ENC-A-2252611,A10CBMC000S0278A,MUNICIPIO DA TROFA,Mesinha Cabeceira 34x29.5x40cm - FFaia/MDF,10,,
ENC-A-2252611,A10CBRO000S0181A,MUNICIPIO DA TROFA,"Roupeiro 50 x 37,5 x 85cm - FFaia",10,,
ENC-A-2252611,A10CBTF000S0278A,MUNICIPIO DA TROFA,Tábua Passar Ferro 65x17x52cm - MDF,10,,
ENC-A-2260102,A10ATPB400S0598A,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Armário Portas Batentes c/Prateleiras (4) 100x44x185cm - (Me)Cinza Claro/R7035,16,,
ENC-A-2253232,A10Q3QP150S1257A,AGRUP. DE ESCOLAS DA PÓVOA DE SANTA IRIA,Quadro Fixo (C.AL) 150x1.6x120cm + Calha,2,,
ENC-A-2252835,900000004,ASSOCIAÇÃO RAUL DÓRIA,FC - Armário 9 Compartimentos + 9 Tabuleiros T1 - 104x45x81.4cm - (Me)Branco,16,,
ENC-A-2252835,900000004,ASSOCIAÇÃO RAUL DÓRIA,FC - Cadeira ERGOS SHELL c/Base Mochila em PP e Palmatória -(P)427/[B]+[P](P)100,102,,
ENC-A-2252835,900000004,ASSOCIAÇÃO RAUL DÓRIA,FC - Cadeira ERGOS SHELL Pé Central 63x63x42-52cm - (P)427,331,,
ENC-A-2252961,900000004,"TPS-TEIXEIRA, PINTO & SOARES, S.A.",FC - Módulo Balcão Expositor c/ Prateleira 1200x600x1000mm - TPreto [M2.412.B01],1,,
ENC-A-2252961,900000004,"TPS-TEIXEIRA, PINTO & SOARES, S.A.",FC - Módulo Balcão Canto 60x60x100cm - TPreto [M2.412.B02],1,,
ENC-A-2252961,900000004,"TPS-TEIXEIRA, PINTO & SOARES, S.A.",FC - Móduo Balcão p/Mobilidade Condicionada - TPreto [M2.411.B.02],1,,
ENC-A-2252961,900000004,"TPS-TEIXEIRA, PINTO & SOARES, S.A.",FC - Porta de Balcão (M2.413.B01) 60x98cm - TPreto,1,,
ENC-A-2252961,900000004,"TPS-TEIXEIRA, PINTO & SOARES, S.A.",FC - Remate de Balcão Painel Fixo (M2.413.B03) 60x90cm - TPreto,1,,
ENC-A-2252961,900000004,"TPS-TEIXEIRA, PINTO & SOARES, S.A.",FC-Complemento de Expositor Multirrégua(Prateleira) 60x30cm-TBranco [M4.231.B01],28,,
ENC-A-2252961,900000004,"TPS-TEIXEIRA, PINTO & SOARES, S.A.",FC - Complemento de Expositor Multirrégua (6 Gancho Metálico) - [M4.231.A01],6,,
ENC-A-2252961,900000004,"TPS-TEIXEIRA, PINTO & SOARES, S.A.",FC - Complemento de Expositor Multirrégua (6 Gancho Metálico) - [M4.231.A02],6,,
ENC-A-2252961,900000004,"TPS-TEIXEIRA, PINTO & SOARES, S.A.",FC-Módulo Balcão Expositor C/Pódio 120x60x100cm - (TP) Vidro/TPreto [M2.411.B01],1,,
ENC-A-2260052,A10ERGOS06S0497A,DECITREL INOVAÇÃO-TECNOLOGIAS EDUCAÇÃOSA,Cadeira ERGOS 06 - 50x50x46cm - (P)427,16,,
ENC-A-2260053,A10ERGOS06S0497A,MUNICÍPIO DE ALCANENA,Cadeira ERGOS 06 - 50x50x46cm - (P)427,26,,
ENC-A-2260053,A10ERGOS06S0497A,MUNICÍPIO DE ALCANENA,Cadeira ERGOS 06 - 50x50x46cm - (P)427,3,,
ENC-A-2260052,A10ERGOS06S0125A,DECITREL INOVAÇÃO-TECNOLOGIAS EDUCAÇÃOSA,Cadeira ERGOS 06 - 50x50x46cm - (P)446,16,,
ENC-A-2260053,A10ERGOS06S0125A,MUNICÍPIO DE ALCANENA,Cadeira ERGOS 06 - 50x50x46cm - (P)446,1,,
ENC-A-2260053,A10ERGOS06S0125A,MUNICÍPIO DE ALCANENA,Cadeira ERGOS 06 - 50x50x46cm - (P)446,1,,
ENC-A-2260053,A10ERGOS06S0125A,MUNICÍPIO DE ALCANENA,Cadeira ERGOS 06 - 50x50x46cm - (P)446,3,,
ENC-A-2260053,A10ERGOS06S0125A,MUNICÍPIO DE ALCANENA,Cadeira ERGOS 06 - 50x50x46cm - (P)446,1,,
ENC-A-2260053,A10ERGOS06S0125A,MUNICÍPIO DE ALCANENA,Cadeira ERGOS 06 - 50x50x46cm - (P)446,26,,
ENC-A-2260053,A10ERGOS06S0125A,MUNICÍPIO DE ALCANENA,Cadeira ERGOS 06 - 50x50x46cm - (P)446,3,,
ENC-A-2260053,A10ERGOS06S0125A,MUNICÍPIO DE ALCANENA,Cadeira ERGOS 06 - 50x50x46cm - (P)446,1,,
ENC-A-2260053,A10ERGOS06S0120A,MUNICÍPIO DE ALCANENA,Cadeira ERGOS 06 - 50x50x46cm - (P)166,2,,
ENC-A-2260053,A10ERGOS06S0120A,MUNICÍPIO DE ALCANENA,Cadeira ERGOS 06 - 50x50x46cm - (P)166,26,,
ENC-A-2253462,900000004,ESCOLA SUPERIOR ENFERMAGEM COIMBRA,FC - Armário de Parede p/ Instrumentos 130x35x60cm - (Me)Faia / R7035,1,,
ENC-A-2253462,900000004,ESCOLA SUPERIOR ENFERMAGEM COIMBRA,FC - Armário de Parede c/ P. Batentes (2) 300x35x60cm - (Me)Faia / R7035,1,,
ENC-A-2253462,900000004,ESCOLA SUPERIOR ENFERMAGEM COIMBRA,FC - Bancada c/ 4 Gavetas + 4 Portas Batentes (2)-300x60x85 - (Me)Faia / R7035,1,,
ENC-A-2253462,900000004,ESCOLA SUPERIOR ENFERMAGEM COIMBRA,FC - Mesa de Apoio 60x60x34cm - (Me)Carvalho / R9005,3,,
ENC-A-2260030,900000004,INSTITUTO POLITÉCNICO DE CASTELO BRANCO,"FC - Secretária Pés em ""L"" c/Painel Metálico 80x65x74cm - (Me)Branco/R9016",10,,
ENC-A-2260030,900000004,INSTITUTO POLITÉCNICO DE CASTELO BRANCO,"FC - Secretária Pés em ""L"" c/Painel Metálico 120x65x74cm - (Me)Branco/R9016",26,,
ENC-A-2253425,A10ERSPCR0S0125B,ASSOCIAÇÃO DIOGO DE AZAMBUJA,Cadeira ERGOS SHELL Pé Central c/Repousa Pés 63x63x65-89cm - (P)446,3,,
ENC-A-2252835,A10ERSPCR0S0497B,ASSOCIAÇÃO RAUL DÓRIA,Cadeira ERGOS SHELL Pé Central c/Repousa Pés 63x63x65-89cm - (P)427,37,,
ENC-A-2260053,900000004,MUNICÍPIO DE ALCANENA,"FC - Armário Aberto 30 Tabuleiros T2 104x43,5x185cm - (Me)Cinza Claro",1,,
ENC-A-2260053,900000004,MUNICÍPIO DE ALCANENA,FC-Módulo Inferior Rodapé 2 Portas 120x47x85cm - (Me)Cinza Claro/(Fe)Cinza Claro,2,,
ENC-A-2260082,A10BLQ0600S0D37A,EDUCHIADO LDA,Puff Quadrado 45x45x45cm - (Ps)Kiwi_8013,1,,
ENC-A-2260061,A10Q3MM31RS0766A,NERA IT SOLUTIONS UNIPESSOAL LDA,Armário Fechado Rodado c/ Asas 24 Tabuleiros T1 104x44x96cm - (Me)Cinza Claro,3,,
ENC-A-2252835,A14BU16D0000162B,ASSOCIAÇÃO RAUL DÓRIA,NETBOOK BUS 16 Dispositivos 70x64x125cm - (E)R7035/(P)R7037,4,,
ENC-A-2260123,900000004,GUIA GESTÃO DE INFORMAÇÃO E ARQUIVOS LDA,FC-Arm.Fechado(3) c/4 Rodas+Travão 90x45x81cm-[E](Me)Branco/[P](Me)Azul Esc/9016,1,,
ENC-A-2260123,900000004,GUIA GESTÃO DE INFORMAÇÃO E ARQUIVOS LDA,FC - Armário Baixo KUBIC (12 Tabuleiros T1) 103.9x45x81.4cm - (Me)Branca,2,,
ENC-A-2253423,A19BA0000249000A,ESCOLA SECUNDÁRIA EÇA DE QUEIROZ,"Bloco de Eletrificação de 4 Tomadas 6,2x15,2x18,5cm",4,,
ENC-A-2260053,A19BA0000249000A,MUNICÍPIO DE ALCANENA,"Bloco de Eletrificação de 4 Tomadas 6,2x15,2x18,5cm",3,,
